id,titre,url,source,date_article,themes_mistral,themes_ml,score_confiance_ml,tags
22,"10. C# (Static Typing vs Dynamic Typing)","https://dev.to/sabin_sim/10-c-static-typing-vs-dynamic-typing-ka1","dev.to","2026-02-07T22:33:34.000Z","[""Développement""]","[""Développement""]",0.8912,"[""C#"",""typage statique"",""typage dynamique"",""apprentissage""]"
23,"I Built a Client Portal That Does Less on Purpose","https://dev.to/jaymart/i-built-a-client-portal-that-does-less-on-purpose-30im","dev.to","2026-02-07T22:28:55.000Z","[""Développement"",""Productivité/Outils""]","[""Productivité/Outils"",""Développement"",""Architecture""]",0.997,"[""freelance"",""outils"",""minimalisme"",""client portal""]"
24,"Continuous AI in practice: What developers can automate today with agentic CI","https://github.blog/ai-and-ml/generative-ai/continuous-ai-in-practice-what-developers-can-automate-today-with-agentic-ci/","GitHubBlog","2026-02-05T17:00:00.000Z","[""IA/ML"",""DevOps/Infrastructure"",""Développement""]","[""Développement"",""Productivité/Outils"",""IA/ML""]",0.9998,"[""CI/CD"",""IA"",""automatisation"",""GitHub""]"
25,"Pick your agent: Use Claude and Codex on Agent HQ ","https://github.blog/news-insights/company-news/pick-your-agent-use-claude-and-codex-on-agent-hq/","GitHubBlog","2026-02-04T17:00:19.000Z","[""IA/ML"",""DevOps/Infrastructure"",""Développement""]","[""Développement""]",0.8603,"[""IA"",""GitHub"",""Copilot"",""Développement""]"
26,"What the fastest-growing tools reveal about how software is being built","https://github.blog/news-insights/octoverse/what-the-fastest-growing-tools-reveal-about-how-software-is-being-built/","GitHubBlog","2026-02-03T17:00:00.000Z","[""DevOps/Infrastructure"",""Développement"",""Productivité/Outils""]","[""Développement"",""Architecture"",""Productivité/Outils""]",0.9999,"[""tendances"",""outils"",""développement""]"
27,"How to maximize GitHub Copilot’s agentic capabilities","https://github.blog/ai-and-ml/github-copilot/how-to-maximize-github-copilots-agentic-capabilities/","GitHubBlog","2026-02-02T17:00:00.000Z","[""IA/ML"",""Architecture"",""DevOps/Infrastructure""]","[""Développement"",""Architecture"",""Productivité/Outils""]",0.9992,"[""GitHub Copilot"",""architecture"",""productivité""]"
28,"From pixels to characters: The engineering behind GitHub Copilot CLI’s animated ASCII banner","https://github.blog/engineering/from-pixels-to-characters-the-engineering-behind-github-copilot-clis-animated-ascii-banner/","GitHubBlog","2026-01-28T17:00:00.000Z","[""DevOps/Infrastructure"",""Développement"",""Productivité/Outils""]","[""Développement"",""Pratiques/Qualité""]",0.9914,"[""GitHub"",""Copilot"",""CLI"",""ASCII"",""Terminal""]"
29,"Year recap and future goals for the GitHub Innovation Graph","https://github.blog/news-insights/policy-news-and-insights/year-recap-and-future-goals-for-the-github-innovation-graph/","GitHubBlog","2026-01-28T16:00:00.000Z","[""DevOps/Infrastructure"",""Développement"",""Productivité/Outils""]","[""Développement"",""Productivité/Outils""]",0.9992,"[""GitHub"",""Innovation Graph"",""trends"",""développement logiciel""]"
30,"7 learnings from Anders Hejlsberg: The architect behind C# and TypeScript","https://github.blog/developer-skills/programming-languages-and-frameworks/7-learnings-from-anders-hejlsberg-the-architect-behind-c-and-typescript/","GitHubBlog","2026-01-27T17:17:28.000Z","[""Développement"",""Architecture""]","[""Développement"",""Architecture"",""Productivité/Outils""]",0.9999,"[""C#"",""TypeScript"",""Architecture"",""Open Source""]"
31,"Power agentic workflows in your terminal with GitHub Copilot CLI","https://github.blog/ai-and-ml/github-copilot/power-agentic-workflows-in-your-terminal-with-github-copilot-cli/","GitHubBlog","2026-01-26T18:54:49.000Z","[""DevOps/Infrastructure"",""Productivité/Outils""]","[""Développement"",""Productivité/Outils""]",0.8051,"[""GitHub Copilot"",""CLI"",""Productivité"",""Développement""]"
32,"Build an agent into any app with the GitHub Copilot SDK","https://github.blog/news-insights/company-news/build-an-agent-into-any-app-with-the-github-copilot-sdk/","GitHubBlog","2026-01-22T15:01:44.000Z","[""IA/ML"",""DevOps/Infrastructure"",""Développement""]","[""Développement"",""Architecture"",""Productivité/Outils"",""Sécurité""]",0.9753,"[""GitHub Copilot"",""SDK"",""Intégration"",""Développement""]"
33,"Dragonfly v2.4.0 is released","https://www.cncf.io/blog/2026/02/05/dragonfly-v2-4-0-is-released/","CNCF Blog","2026-02-06T00:00:00.000Z","[""DevOps/Infrastructure"",""Architecture""]","[""Développement"",""Productivité/Outils"",""Sécurité"",""DevOps/Infrastructure""]",0.9964,"[""Dragonfly"",""algorithme"",""planification""]"
34,"Conversing with Large Language Models using Dapr","https://www.cncf.io/blog/2026/02/04/conversing-with-large-language-models-using-dapr/","CNCF Blog","2026-02-04T20:51:48.000Z","[""IA/ML"",""DevOps/Infrastructure"",""Architecture""]","[]",0.4026,"[""microservices"",""Dapr"",""architecture distribuée""]"
35,"OpenTelemetry Collector vs agent: How to choose the right telemetry approach","https://www.cncf.io/blog/2026/02/02/opentelemetry-collector-vs-agent-how-to-choose-the-right-telemetry-approach/","CNCF Blog","2026-02-02T12:00:00.000Z","[""Architecture"",""DevOps/Infrastructure""]","[""DevOps/Infrastructure"",""Sécurité"",""Architecture""]",0.8411,"[""OpenTelemetry"",""Cloud-Native"",""Observabilité""]"
36,"Introducing Kthena: LLM inference for the cloud native era","https://www.cncf.io/blog/2026/01/28/introducing-kthena-llm-inference-for-the-cloud-native-era/","CNCF Blog","2026-01-28T15:00:00.000Z","[""IA/ML"",""DevOps/Infrastructure"",""Architecture""]","[""Productivité/Outils"",""Développement"",""DevOps/Infrastructure""]",0.9999,"[""cloud"",""LLM"",""MLOps"",""orchestration""]"
37,"Navigating the ingress-nginx archival: why now is the time to move to Cilium","https://www.cncf.io/blog/2026/01/27/navigating-the-ingress-nginx-archival-why-now-is-the-time-to-move-to-cilium/","CNCF Blog","2026-01-27T15:00:00.000Z","[""Architecture"",""DevOps/Infrastructure"",""Sécurité""]","[""DevOps/Infrastructure""]",0.7265,"[""Kubernetes"",""ingress-nginx"",""Cilium"",""migration""]"
38,"The autonomous enterprise and the four pillars of platform control: 2026 forecast","https://www.cncf.io/blog/2026/01/23/the-autonomous-enterprise-and-the-four-pillars-of-platform-control-2026-forecast/","CNCF Blog","2026-01-23T12:03:00.000Z","[""IA/ML"",""DevOps/Infrastructure"",""Architecture""]","[""Développement"",""Productivité/Outils"",""Architecture"",""IA/ML"",""DevOps/Infrastructure""]",0.9999,"[""DevOps"",""IA"",""Plateforme"",""Gouvernance""]"
39,"Context Engineering for Coding Agents","https://martinfowler.com/articles/exploring-gen-ai/context-engineering-coding-agents.html","Martin Fowler's blog","2026-02-05T15:36:00.000Z","[""IA/ML"",""DevOps/Infrastructure"",""Développement""]","[""Développement"",""Productivité/Outils""]",0.9914,"[""IA"",""développement"",""outils"",""productivité""]"
40,"Fragments: February  4","https://martinfowler.com/fragments/2026-02-04.html","Martin Fowler's blog","2026-02-04T17:56:00.000Z","[""IA/ML"",""DevOps/Infrastructure"",""Architecture""]","[""Développement"",""Architecture"",""IA/ML""]",0.9999,"[""IA"",""Développement Logiciel"",""Retour d'expérience""]"
41,"Assessing internal quality while coding with an agent","https://martinfowler.com/articles/exploring-gen-ai/ccmenu-quality.html","Martin Fowler's blog","2026-01-27T15:50:00.000Z","[""Développement"",""Pratiques/Qualité""]","[""Développement"",""Sécurité"",""Pratiques/Qualité""]",0.9811,"[""IA"",""qualité de code"",""retour d'expérience""]"
42,"Conversation: LLMs and the what/how loop","https://martinfowler.com/articles/convo-what-how.html","Martin Fowler's blog","2026-01-21T14:40:00.000Z","[""IA/ML"",""DevOps/Infrastructure"",""Architecture""]","[""Développement""]",0.9999,"[""LLMs"",""abstractions"",""TDD"",""développement logiciel""]"
43,"Stop Picking Sides: Manage the Tension Between Adaptation and                Optimization","https://martinfowler.com/articles/stop-picking-sides.html","Martin Fowler's blog","2026-01-13T14:59:00.000Z","[""Architecture"",""Pratiques/Qualité""]","[""Pratiques/Qualité"",""Développement"",""Sécurité""]",0.9377,"[""architecture"",""équipes"",""optimisation"",""adaptation""]"
44,"Fragments: January  8","https://martinfowler.com/fragments/2026-01-08.html","Martin Fowler's blog","2026-01-08T13:29:00.000Z","[""IA/ML"",""Productivité/Outils""]","[""Productivité/Outils"",""Développement"",""IA/ML"",""Architecture""]",0.9999,"[""IA"",""développement logiciel"",""productivité"",""retour d'expérience""]"
45,"Fragments: December 16","https://martinfowler.com/fragments/2025-12-16.html","Martin Fowler's blog","2025-12-16T15:14:00.000Z","[""IA/ML"",""DevOps/Infrastructure"",""Architecture""]","[""Développement"",""Productivité/Outils"",""IA/ML"",""Pratiques/Qualité""]",0.9996,"[""mainframe"",""modernisation"",""IA"",""code review""]"
46,"Fragments Dec 4","https://martinfowler.com/articles/20251204-frags.html","Martin Fowler's blog","2025-12-04T15:59:00.000Z","[""IA/ML"",""Développement"",""Pratiques/Qualité""]","[""Développement""]",0.9994,"[""IA"",""open-source"",""qualité du code"",""retour d'expérience""]"
47,"My Foreword to ""Frictionless""","https://martinfowler.com/articles/frictionless-foreword.html","Martin Fowler's blog","2025-11-18T17:19:00.000Z","[""Productivité/Outils"",""Développement""]","[""Productivité/Outils""]",0.9041,"[""productivité"",""livre"",""recommandation""]"
48,"The Learning Loop and LLMs","https://martinfowler.com/articles/llm-learning-loop.html","Martin Fowler's blog","2025-11-04T14:14:00.000Z","[""IA/ML"",""Pratiques/Qualité""]","[]",0.0002,"[""LLMs"",""apprentissage"",""bonnes pratiques""]"
49,"Fragments Nov 3","https://martinfowler.com/articles/2025-11-03-frags.html","Martin Fowler's blog","2025-11-04T00:42:00.000Z","[""IA/ML"",""Sécurité""]","[""Sécurité"",""Développement"",""IA/ML""]",0.9999,"[""IA"",""sécurité"",""développement"",""bonnes pratiques""]"
50,"Agentic AI and Security","https://martinfowler.com/articles/agentic-ai-security.html","Martin Fowler's blog","2025-10-28T13:20:00.000Z","[""Sécurité"",""IA/ML""]","[""Sécurité"",""IA/ML""]",0.9999,"[""IA"",""sécurité"",""architecture""]"
51,"Fragments and Links","https://martinfowler.com/articles/20251021-frags.html","Martin Fowler's blog","2025-10-21T15:02:00.000Z","[""IA/ML"",""DevOps/Infrastructure"",""Architecture""]","[""Architecture"",""Développement"",""IA/ML""]",0.9984,"[""Domain-Driven Design"",""IA"",""Gouvernement""]"
52,"Understanding Spec-Driven-Development: Kiro, spec-kit, and Tessl","https://martinfowler.com/articles/exploring-gen-ai/sdd-3-tools.html","Martin Fowler's blog","2025-10-15T12:33:00.000Z","[""Développement"",""Pratiques/Qualité"",""Productivité/Outils""]","[""Développement"",""Productivité/Outils"",""Architecture""]",0.9752,"[""AI"",""Spec-Driven Development"",""Outils""]"
53,"Anchoring AI to a reference application","https://martinfowler.com/articles/exploring-gen-ai/anchoring-to-reference.html","Martin Fowler's blog","2025-09-25T09:57:00.000Z","[""IA/ML"",""DevOps/Infrastructure"",""Architecture""]","[""IA/ML"",""Développement"",""Architecture""]",0.9723,"[""IA générative"",""architecture"",""DevOps""]"
54,"To vibe or not to vibe","https://martinfowler.com/articles/exploring-gen-ai/to-vibe-or-not-vibe.html","Martin Fowler's blog","2025-09-23T07:53:00.000Z","[""Développement"",""Pratiques/Qualité""]","[""Développement"",""Sécurité""]",0.9454,"[""vibe coding"",""risk assessment"",""best practices""]"
55,"From Black Box to Blueprint","https://martinfowler.com/articles/black-box-to-blueprint.html","Martin Fowler's blog","2025-08-28T11:24:00.000Z","[""IA/ML"",""Architecture"",""DevOps/Infrastructure""]","[""Architecture"",""Développement"",""IA/ML""]",0.9996,"[""architecture"",""legacy systems"",""reverse engineering"",""AI"",""modernization""]"
56,"Research, Review, Rebuild: Intelligent Modernisation with MCP and Strategic Prompting","https://martinfowler.com/articles/research-review-rebuild.html","Martin Fowler's blog","2025-08-27T14:15:00.000Z","[""DevOps/Infrastructure"",""Architecture"",""Productivité/Outils""]","[""Développement"",""Productivité/Outils""]",0.9997,"[""React"",""TypeScript"",""Modernisation"",""API"",""Retour d'expérience""]"
57,"Building your own CLI Coding Agent with Pydantic-AI","https://martinfowler.com/articles/build-own-coding-agent.html","Martin Fowler's blog","2025-08-27T11:50:00.000Z","[""Développement"",""Productivité/Outils""]","[""Développement""]",0.9952,"[""CLI"",""open source"",""coding agent"",""développement""]"
58,"Chatting with Unmesh about building language with LLMs","https://martinfowler.com/articles/convo-llm-abstractions.html","Martin Fowler's blog","2025-08-26T13:26:00.000Z","[""IA/ML"",""Développement""]","[""Développement"",""Architecture""]",0.9999,"[""LLM"",""abstractions"",""programmation""]"
59,"Impact Intelligence, addressing common objections","https://martinfowler.com/articles/impact-intel.html#objections","Martin Fowler's blog","2025-08-12T13:02:00.000Z","[""IA/ML"",""DevOps/Infrastructure"",""Architecture""]","[""Développement""]",0.9308,"[""architecture"",""innovation"",""agilité""]"
60,"Team OKRs in Action","https://martinfowler.com/articles/team-okr.html","Martin Fowler's blog","2025-08-13T14:16:00.000Z","[""DevOps/Infrastructure"",""Architecture"",""Pratiques/Qualité""]","[]",0.2662,"[""OKRs"",""management"",""alignement stratégique""]"
61,"How Convera built fine-grained API authorization with Amazon Verified Permissions","https://aws.amazon.com/blogs/architecture/how-convera-built-fine-grained-api-authorization-with-amazon-verified-permissions/","AWS Architecture Blog","2026-02-05T21:21:54.000Z","[""Sécurité"",""Architecture""]","[""Développement"",""Sécurité"",""Architecture""]",0.9555,"[""API"",""autorisation"",""Amazon Verified Permissions"",""architecture""]"
62,"Mastering millisecond latency and millions of events: The event-driven architecture behind the Amazon Key Suite","https://aws.amazon.com/blogs/architecture/mastering-millisecond-latency-and-millions-of-events-the-event-driven-architecture-behind-the-amazon-key-suite/","AWS Architecture Blog","2026-02-04T15:53:39.000Z","[""Architecture"",""DevOps/Infrastructure""]","[""Architecture"",""Pratiques/Qualité""]",0.9998,"[""architecture"",""event-driven"",""Amazon EventBridge"",""scalabilité"",""retour d'expérience""]"
63,"Sovereign failover – Design for digital sovereignty using the AWS European Sovereign Cloud","https://aws.amazon.com/blogs/architecture/sovereign-failover-design-for-digital-sovereignty-using-the-aws-european-sovereign-cloud/","AWS Architecture Blog","2026-01-30T19:09:35.000Z","[""Architecture"",""Sécurité""]","[""Architecture"",""DevOps/Infrastructure""]",0.9998,"[""cloud"",""architecture"",""AWS"",""sécurité"",""résilience""]"
64,"Announcing the AWS Digital Sovereignty Well-Architected Lens","https://aws.amazon.com/blogs/architecture/announcing-the-aws-digital-sovereignty-well-architected-lens/","AWS Architecture Blog","2026-01-30T00:10:22.000Z","[""Architecture"",""Sécurité""]","[""DevOps/Infrastructure""]",0.7151,"[""AWS"",""cloud"",""souveraineté numérique"",""architecture""]"
65,"How Artera enhances prostate cancer diagnostics using AWS","https://aws.amazon.com/blogs/architecture/how-artera-enhances-prostate-cancer-diagnostics-using-aws/","AWS Architecture Blog","2026-01-29T17:06:57.000Z","[""IA/ML"",""DevOps/Infrastructure"",""Architecture""]","[""Développement"",""DevOps/Infrastructure"",""Productivité/Outils"",""IA/ML"",""Pratiques/Qualité""]",0.9936,"[""AWS"",""IA"",""santé"",""cloud""]"
66,"How Salesforce migrated from Cluster Autoscaler to Karpenter across their fleet of 1,000 EKS clusters","https://aws.amazon.com/blogs/architecture/how-salesforce-migrated-from-cluster-autoscaler-to-karpenter-across-their-fleet-of-1000-eks-clusters/","AWS Architecture Blog","2026-01-12T20:03:32.000Z","[""DevOps/Infrastructure"",""Architecture""]","[""DevOps/Infrastructure"",""Développement"",""Architecture"",""Sécurité"",""IA/ML"",""Productivité/Outils"",""Pratiques/Qualité""]",0.9748,"[""Kubernetes"",""Cloud"",""DevOps"",""Scaling""]"
67,"Architecting conversational observability for cloud applications","https://aws.amazon.com/blogs/architecture/architecting-conversational-observability-for-cloud-applications/","AWS Architecture Blog","2025-12-11T15:59:39.000Z","[""IA/ML"",""DevOps/Infrastructure"",""Architecture""]","[""Architecture"",""DevOps/Infrastructure""]",0.9993,"[""Kubernetes"",""IA générative"",""DevOps"",""Troubleshooting""]"
68,"How BASF’s Agriculture Solutions drives traceability and climate action by tokenizing cotton value chains using Amazon Managed Blockchain","https://aws.amazon.com/blogs/architecture/how-basfs-agriculture-solutions-drives-traceability-and-climate-action-by-tokenizing-cotton-value-chains-using-amazon-managed-blockchain/","AWS Architecture Blog","2025-12-10T17:41:52.000Z","[""Architecture"",""Développement""]","[""Développement"",""Architecture""]",0.9534,"[""blockchain"",""agriculture"",""traceability""]"
69,"Secure Amazon Elastic VMware Service (Amazon EVS) with AWS Network Firewall","https://aws.amazon.com/blogs/architecture/secure-amazon-elastic-vmware-service-amazon-evs-with-aws-network-firewall/","AWS Architecture Blog","2025-11-26T16:22:03.000Z","[""Sécurité"",""Architecture""]","[""Sécurité"",""DevOps/Infrastructure"",""Architecture""]",0.9999,"[""AWS"",""Sécurité"",""Architecture Cloud""]"
70,"Building an AI gateway to Amazon Bedrock with Amazon API Gateway","https://aws.amazon.com/blogs/architecture/building-an-ai-gateway-to-amazon-bedrock-with-amazon-api-gateway/","AWS Architecture Blog","2025-11-19T23:33:41.000Z","[""IA/ML"",""DevOps/Infrastructure"",""Architecture""]","[""Architecture"",""Développement"",""IA/ML""]",0.9933,"[""Amazon Bedrock"",""Amazon API Gateway"",""AI governance"",""architecture""]"
71,"Architecting for AI excellence: AWS launches three Well-Architected Lenses at re:Invent 2025","https://aws.amazon.com/blogs/architecture/architecting-for-ai-excellence-aws-launches-three-well-architected-lenses-at-reinvent-2025/","AWS Architecture Blog","2025-11-19T19:36:31.000Z","[""IA/ML"",""Architecture""]","[""IA/ML"",""Développement"",""Architecture""]",0.9998,"[""AWS"",""AI"",""Architecture"",""Cloud""]"
72,"Announcing the updated AWS Well-Architected Generative AI Lens","https://aws.amazon.com/blogs/architecture/announcing-the-updated-aws-well-architected-generative-ai-lens/","AWS Architecture Blog","2025-11-19T19:36:28.000Z","[""IA/ML"",""Architecture"",""Pratiques/Qualité""]","[""IA/ML"",""Architecture"",""DevOps/Infrastructure""]",0.9873,"[""AWS"",""Architecture"",""IA"",""Best Practices""]"
73,"Announcing the updated AWS Well-Architected Machine Learning Lens","https://aws.amazon.com/blogs/architecture/announcing-the-updated-aws-well-architected-machine-learning-lens/","AWS Architecture Blog","2025-11-19T19:36:25.000Z","[""IA/ML"",""Architecture""]","[""IA/ML"",""Développement"",""Sécurité"",""DevOps/Infrastructure"",""Architecture"",""Productivité/Outils"",""Pratiques/Qualité""]",0.9925,"[""AWS"",""Machine Learning"",""Architecture""]"
74,"Build priority-based message processing with Amazon MQ and AWS App Runner","https://aws.amazon.com/blogs/architecture/build-priority-based-message-processing-with-amazon-mq-and-aws-app-runner/","AWS Architecture Blog","2025-11-18T16:39:29.000Z","[""DevOps/Infrastructure"",""Architecture""]","[""Développement"",""Architecture"",""DevOps/Infrastructure"",""Pratiques/Qualité""]",0.9989,"[""AWS"",""Amazon MQ"",""DynamoDB"",""App Runner"",""WebSocket"",""architecture""]"
75,"Know before you go – AWS re:Invent 2025 guide to Well-Architected and Cloud Optimization sessions","https://aws.amazon.com/blogs/architecture/know-before-you-go-aws-reinvent-2025-guide-to-well-architected-and-cloud-optimization-sessions/","AWS Architecture Blog","2025-11-14T18:11:43.000Z","[""Architecture"",""DevOps/Infrastructure"",""Productivité/Outils""]","[""Architecture"",""Développement"",""Sécurité"",""DevOps/Infrastructure"",""Productivité/Outils""]",0.9349,"[""AWS"",""Cloud"",""Architecture"",""Optimisation"",""Conférence""]"
76,"BASF Digital Farming builds a STAC-based solution on Amazon EKS","https://aws.amazon.com/blogs/architecture/basf-digital-farming-builds-a-stac-based-solution-on-amazon-eks/","AWS Architecture Blog","2025-10-22T16:21:09.000Z","[""DevOps/Infrastructure"",""Architecture""]","[""Architecture"",""Développement"",""DevOps/Infrastructure""]",0.9905,"[""cloud"",""architecture"",""kubernetes"",""agriculture de précision""]"
77,"Modernization of real-time payment orchestration on AWS","https://aws.amazon.com/blogs/architecture/modernization-of-real-time-payment-orchestration-on-aws/","AWS Architecture Blog","2025-10-01T23:34:00.000Z","[""Architecture"",""DevOps/Infrastructure""]","[""DevOps/Infrastructure""]",0.798,"[""AWS"",""paiements en temps réel"",""orchestration"",""cloud""]"
